	name
0	fixation.jpg
124	01 Female Calm S.jpg
248	01 Female Calm.jpg
613	fixation.jpg
738	01 Male Happy S.jpg
863	01 Male Happy.jpg
1228	fixation.jpg
1352	01 Male Calm S.jpg
1477	01 Male Calm.jpg
1842	fixation.jpg
1968	01 Female Fear S.jpg
2092	01 Female Fear.jpg
2457	fixation.jpg
2581	01 Female Happy S.jpg
2706	01 Female Happy.jpg
3071	fixation.jpg
3197	01 Male Fear S.jpg
3323	01 Male Fear.jpg
3687	fixation.jpg
3811	02 Male Calm S.jpg
3934	02 Male Calm.jpg
4299	fixation.jpg
4423	02 Female Fear S.jpg
4548	02 Female Fear.jpg
4913	fixation.jpg
5037	02 Male Happy S.jpg
5161	02 Male Happy.jpg
5527	fixation.jpg
5652	02 Female Calm S.jpg
5776	02 Female Calm.jpg
6140	fixation.jpg
6264	02 Male Fear S.jpg
6388	02 Male Fear.jpg
6752	fixation.jpg
6876	02 Female Happy S.jpg
7001	02 Female Happy.jpg
7365	fixation.jpg
7490	03 Female Fear S.jpg
7614	03 Female Fear.jpg
7978	fixation.jpg
8104	03 Male Calm S.jpg
8228	03 Male Calm.jpg
8593	fixation.jpg
8718	03 Female Calm S.jpg
8843	03 Female Calm.jpg
9207	fixation.jpg
9332	03 Male Fear S.jpg
9456	03 Male Fear.jpg
9820	fixation.jpg
9945	03 Male Happy S.jpg
10069	03 Male Happy.jpg
10434	fixation.jpg
10558	03 Female Happy S.jpg
10683	03 Female Happy.jpg
11048	fixation.jpg
11173	04 Male Fear S.jpg
11298	04 Male Fear .jpg
11663	fixation.jpg
11787	04 Female Happy S.jpg
11912	04 Female Happy.jpg
12278	fixation.jpg
12402	toddler left.wmv
19624	fixation.jpg
19748	04 Female Calm S.jpg
19873	04 Female Calm.jpg
20237	fixation.jpg
20361	04 Male Happy S.jpg
20486	04 Male Happy.jpg
20851	fixation.jpg
20974	04 Male Calm S.jpg
21098	04 Male Calm.jpg
21463	fixation.jpg
21587	04 Female Fear S.jpg
21712	04 Female Fear.jpg
22076	fixation.jpg
22201	05 Female Calm S.jpg
22326	05 Female Calm.jpg
22690	fixation.jpg
22815	05 Male Happy S.jpg
22939	05 Male Happy.jpg
23305	fixation.jpg
23430	05 Male Calm S.jpg
23554	05 Male Calm.jpg
23919	fixation.jpg
24044	05 Female Happy S.jpg
24168	05 Female Happy.jpg
24531	fixation.jpg
24656	06 Female Fear S.jpg
24781	05 Female Fear.jpg
25145	fixation.jpg
25269	05 Male Fear S.jpg
25394	05 Male Fear.jpg
25759	fixation.jpg
25884	06 Female Happy S.jpg
26008	06 Female Happy.jpg
26373	fixation.jpg
26497	06 Female Calm S.jpg
26621	06 Female Calm.jpg
26985	fixation.jpg
27110	06 Male Fear S.jpg
27234	06 Male Fear.jpg
27598	fixation.jpg
27722	06 Male Calm S.jpg
27846	06 Male Calm.jpg
28212	fixation.jpg
28335	06 Male Happy S.jpg
28459	06 Male Happy.jpg
28824	fixation.jpg
28949	06 Female Fear S.jpg
29075	06 Female Fear.jpg
29441	fixation.jpg
29567	07 Male Happy S.jpg
29692	07 Male Happy.jpg
30056	fixation.jpg
30180	07 Male Fear S.jpg
30305	07 Male Fear.jpg
30669	fixation.jpg
30793	07 Female Calm S.jpg
30918	07 Female Calm.jpg
31282	fixation.jpg
31407	07 Male Calm S.jpg
31532	07 Male Calm.jpg
31896	a72b78a8-cc66-4654-9a65-1c96d6431d20.jpg
32020	Natural_Left.mp4
39252	a72b78a8-cc66-4654-9a65-1c96d6431d20.jpg
39378	07 Female Fear S.jpg
39502	07 Female Fear.jpg
39867	fixation.jpg
39992	07 Female Happy S.jpg
40116	07 Female Happy.jpg
40481	fixation.jpg
40605	08 Female Fear S.jpg
40729	08 Female Fear.jpg
41094	fixation.jpg
41219	08 Male Calm S.jpg
41345	08 Male Calm.jpg
41710	fixation.jpg
41835	08 Female Happy S.jpg
41961	08 Female Happy.jpg
42326	fixation.jpg
42450	08 Male Fear S.jpg
42575	08 Male Fear.jpg
42939	fixation.jpg
43063	08 Male Happy S.jpg
43187	08 Male Happy.jpg
43551	fixation.jpg
43675	08 Female Calm S.jpg
43800	08 Female Calm.jpg
44165	fixation.jpg
44290	09 Male Calm S.jpg
44415	09 Male Calm.jpg
44779	fixation.jpg
44904	09 Male Fear S.jpg
45030	09 Male Fear.jpg
45394	fixation.jpg
45519	09 Female Calm S.jpg
45643	09 Female Calm.jpg
46007	fixation.jpg
46133	09 Female Fear S.jpg
46259	09 Female Fear.jpg
46623	fixation.jpg
46748	09 Female Happy S.jpg
46872	09 Female Happy.jpg
47236	fixation.jpg
47360	09 Male Happy S.jpg
47485	09 Male Happy.jpg
47849	fixation.jpg
47973	10 Male Happy S.jpg
48099	10 Male Happy.jpg
48463	fixation.jpg
48588	10 Female Calm S.jpg
48712	10 Female Calm.jpg
49077	fixation.jpg
49202	10 Female Fear S.jpg
49325	10 Female Fear.jpg
49690	fixation.jpg
49814	10 Female Happy S.jpg
49940	10 Female Happy.jpg
50306	fixation.jpg
50431	10 Male Fear S.jpg
50555	10 Male Fear.jpg
50919	fixation.jpg
51044	10 Male Calm S.jpg
51170	10 Male Calm.jpg
51534	fixation.jpg
